TRADEDATE,SBER,LKOH,GAZP
2015-01-05,56.37,2295.0,133.95
2015-01-06,58.28,2345.0,138.92
2015-01-08,65.7,2572.0,146.46
2015-01-09,63.1,2461.0,141.7
2015-01-12,62.9,2477.0,140.22
2015-01-13,60.31,2522.0,142.64
2015-01-14,60.05,2588.0,146.3
2015-01-15,61.8,2618.9,147.0
2015-01-16,61.99,2736.0,149.6
2015-01-19,61.8,2640.0,148.11
2015-01-20,60.8,2628.7,145.75
2015-01-21,62.8,2752.0,148.8
2015-01-22,64.35,2820.0,151.5
2015-01-23,64.45,2849.0,152.83
2015-01-26,60.49,2864.9,148.0
2015-01-27,61.2,2925.1,150.9
2015-01-28,60.63,2865.2,147.7
2015-01-29,60.5,2845.2,145.0
2015-01-30,61.5,2789.9,143.82
2015-02-02,61.4,2750.1,138.18
2015-02-03,62.0,2851.5,140.35
2015-02-04,61.04,2910.0,142.6
2015-02-05,62.41,2996.0,147.6
2015-02-06,64.31,3120.1,151.6
2015-02-09,65.57,3016.0,149.3
2015-02-10,65.0,3000.0,149.31
2015-02-11,65.12,3069.1,150.55
2015-02-12,67.21,3120.0,157.7
2015-02-13,70.6,3135.0,162.4
2015-02-16,70.0,3020.0,160.19
2015-02-17,72.45,3010.0,159.2
2015-02-18,76.4,3000.0,163.0
2015-02-19,73.78,2994.8,160.9
2015-02-20,74.75,2990.0,158.0
2015-02-24,73.7,3001.0,154.99
2015-02-25,74.2,2933.4,150.7
2015-02-26,75.95,2935.0,151.65
2015-02-27,75.91,2981.2,152.95
2015-03-02,76.2,3027.2,155.5
2015-03-03,75.55,3009.5,159.0
2015-03-04,72.31,2955.0,154.0
2015-03-05,72.7,2915.0,154.8
2015-03-06,73.25,2800.0,152.12
2015-03-10,69.8,2699.0,148.05
2015-03-11,70.68,2726.9,145.99
2015-03-12,70.79,2733.9,144.7
2015-03-13,67.87,2659.0,141.8
2015-03-16,65.57,2666.0,139.75
2015-03-17,64.65,2689.0,139.7
2015-03-18,65.26,2735.0,140.25
2015-03-19,64.9,2689.8,136.81
2015-03-20,67.0,2710.0,136.0
2015-03-23,65.0,2679.9,134.61
2015-03-24,65.6,2709.7,137.15
2015-03-25,64.8,2697.3,134.9
2015-03-26,62.85,2623.0,132.2
2015-03-27,61.0,2577.0,134.88
2015-03-30,63.01,2657.0,137.0
2015-03-31,62.88,2705.0,138.9
2015-04-01,64.5,2755.0,143.0
2015-04-02,65.92,2780.5,143.9
2015-04-03,65.5,2824.8,143.94
2015-04-06,68.99,2823.3,145.7
2015-04-07,69.6,2790.0,146.2
2015-04-08,69.4,2755.0,147.27
2015-04-09,72.0,2707.8,148.1
2015-04-10,71.5,2634.9,148.0
2015-04-13,74.1,2617.0,148.8
2015-04-14,74.05,2559.0,144.4
2015-04-15,76.49,2595.0,150.1
2015-04-16,76.5,2580.0,152.4
2015-04-17,72.5,2576.0,149.3
2015-04-20,73.5,2670.0,153.96
2015-04-21,75.24,2728.2,155.35
2015-04-22,73.9,2639.5,150.8
2015-04-23,75.8,2592.0,150.15
2015-04-24,75.75,2645.0,153.89
2015-04-27,75.2,2662.0,152.05
2015-04-28,75.7,2644.9,152.79
2015-04-29,75.2,2610.0,152.5
2015-04-30,76.9,2645.6,153.5
2015-05-05,80.21,2655.0,156.33
2015-05-06,79.2,2660.0,155.25
2015-05-07,76.5,2650.5,152.1
2015-05-08,75.5,2691.6,155.52
2015-05-12,75.19,2698.6,154.2
2015-05-13,75.24,2620.0,151.74
2015-05-14,74.31,2610.1,151.8
